Unnamed: 0,GCC,BCC,SCC,R-ACR,L-ACR
Velocity,P (0.02)r (0.363),P (0.005)r (0.43),P (0.239)r (0.188),P (0.01)r (0.50),P (< 0.001)r (0.589)
Stride length,P (0.011)r (0.394),P (0.001)r (0.490),P (0.155) r (0.226),P (< 0.001)r (0.601),P (< 0.001)r (0.658)
