Unnamed: 0,SAT,MoCA,PSMD
Velocity,P (0.041) r (0.307),P (0.014) r (0.381),P (0.010) r (-0.396)
Stride length,P (0.047) r (0.299),P (0.003) r (0.451),P (0.003) r (-0.458)
