Unnamed: 0,GCC,BCC,SCC,R-SCR,L-SCR,L-EC,R-SLF,L-SLF
Velocity,P (0.01)r (-0.39),P (0.02)r (-0.36),P (0.25)r (-0.18),P (0.007)r (-0.41),P (0.009)r (-0.42),P (< 0.001) r (-0.55),P (0.002)r (-0.46),P (0.002)r (-0.49)
Stride length,P (0.002)r (-0.461),P (0.008)r (-0.409),P (0.153)r (-0.227),P (0.002)r (-0.461),P (0.002)r (-0.463),P (< 0.001) r (-0.621),P (0.001)r (-0.495),P (< 0.001)r (-0.521)
