Unnamed: 0_level_0,MAPT/GRN,MAPT/GRN,APOE4,APOE4,P-value
Unnamed: 0_level_1,Carriers (n=39)a,Controls (n=36),Carriers (n=37)b,Controls (n=38),P-value
"Age, yc",50.5 (10.0),49.8 (11.3),48.6 (10.3),50.5 (10.5),0.855
"Gender, % Female",23 (59%),18 (50%),20 (54%),20 (53%),0.885
"Education, yc",14.0 (2.5),12.6 (2.9),15.5 (3.7),16.8 (3.2),< 0.001*
