Unnamed: 0_level_0,ActiGlia,ActiGlia,ActiGlia,ActiGlia,ADNI,ADNI,ADNI,ADNI,DELCODE,DELCODE,DELCODE,DELCODE
Unnamed: 0_level_1,Aβ42/40,Aβ42/40,Aβ42/40,Aβ42/40,Aβ42/40,Aβ42/40,Aβ42/40,Aβ42/40,Aβ42/40,Aβ42/40,Aβ42/40,Aβ42/40
Unnamed: 0_level_2,β,SE,Adj-R²,p-value,β,SE,Adj-R²,p-value,β,SE,Adj-R²,p-value
ALPS_comb,-0.14,0.34,0.31,0.675,-0.17,0.4,0.05,0.67,-0.65,0.24,0.15,0.009*
ALPS_R,-0.08,0.31,0.39,0.796,-0.06,0.35,0.25,0.877,-0.58,0.25,0.11,0.020*
ALPS_L,-0.18,0.35,0.23,0.621,-0.06,0.4,0.06,0.891,-0.56,0.24,0.13,0.022*
