Unnamed: 0_level_0,Cluster 1,Cluster 1,Cluster 2,Cluster 2,Statistics
Unnamed: 0_level_1,Mean,SD,Mean,SD,Statistics
IQ,111.850,13.132,101.748,14.161,"t = 11.39, df = 2, P < .001"
Global FA,1.140,1.39,−.991,1.473,"t = 22.91, df = 2, P < .001"
Immune response GRS,−.154,0.157,.032,0.166,"t = −17.74, df = 2, P < .001"
