Unnamed: 0,Aβ1–42* (n = 17),Aβ42/Aβ40* (n = 14),Tau* (n = 17),pTau* (n = 17),Tau/Aβ42* (n = 17),Aβ42/pTau* (n = 17)
Mean,510.94,0.057,445.64,63.15,0.98,9.32
SD,215.0,0.021,246.8,24.36,0.52,6.28
