Unnamed: 0,Variable,B,SE,β,t,p,F,R2,Δ R2,Block p
Block 1,,,,,,,2.298,0.208,,0.078
,Age,0.018,0.026,0.128,0.679,0.502,,,,
,Education,0.195,0.077,0.423,2.53,0.016,,,,
,Sex*,0.315,0.271,0.184,1.16,0.254,,,,
,FSRP,0.041,0.026,0.297,1.161,0.115,,,,
Block 2,,,,,,,3.904,0.365,0.157,0.007
,Age,0.014,0.024,0.098,0.569,0.573,,,,
,Education,0.18,0.07,0.39,2.561,0.015,,,,
,Sex*,0.427,0.25,0.249,1.709,0.097,,,,
,FSRP,0.044,0.023,0.314,1.88,0.069,,,,
,Fornix MWF,21.688,7.489,0.405,2.896,0.007,,,,
