AUC,DTI,DTI,Flortaucipir SUVR
AUC,FA,MD,Flortaucipir SUVR
AF_L,0.77,0.89,0.74
AF_R,0.83,0.89,0.70
FAT_L,0.95,0.95,0.71
FAT_R,0.85,0.92,0.67
IFOF_L,0.73,0.78,0.68
IFOF_R,0.73,0.79,0.67
MLF_L,0.67,0.85,0.62
MLF_R,0.60,0.77,0.60
ILF_L,0.73,0.80,0.62
ILF_R,0.71,0.73,0.62
SMA‐SMA,0.95,0.92,0.97
LN,0.82,0.91,0.72
LN + SMA (SLN),0.94,0.98,0.79
Mean ± s.e.m.,0.79 ± 0.11,0.86 ± 0.08,0.70 ± 0.09
