Unnamed: 0_level_0,Tai Chi Group,Tai Chi Group,Walking Group,Walking Group,T,p,Cohen’s d
Unnamed: 0_level_1,M,SD,M,SD,T,p,Cohen’s d
Lp,3.131,0.215,3.051,0.255,1.071,0.291,0.339
Cp,0.31,0.035,0.295,0.04,1.236,0.224,0.399
sigma,5.021,0.345,4.503,0.33,4.835,0.000 *,1.534
λ,1.151,0.036,1.137,0.037,1.207,0.235,0.384
γ,5.774,0.373,5.125,0.448,4.951,0.000 *,1.574
Eloc,0.395,0.054,0.384,0.062,0.609,0.546,0.189
Eglob,0.321,0.021,0.33,0.026,−1.233,0.225,−0.38
