Unnamed: 0_level_0,FA,FA,MD,MD
Unnamed: 0_level_1,Standardized estimate,p,Standardized estimate,p
CCG,-0.11,0.33,0.17,0.13
CHC,0.09,0.57,-0.02,0.87
CS,0.0,0.99,0.23,0.03
FMAJ,-0.33,< 0.01,0.13,0.24
FMIN,-0.13,0.24,0.17,0.11
IFOF,-0.14,0.21,0.12,0.29
SLF,-0.08,0.47,0.19,0.07
